AÑO|MES|CODIGO_SECTOR_N1|PROVINCIA|CANTON|VENTAS_NETAS_TARIFA_GRAVADA|VENTAS_NETAS_TARIFA_0|VENTAS_NETAS_TARIFA_VARIABLE|VENTAS_NETAS_TARIFA_5|EXPORTACIONES|COMPRAS_NETAS_TARIFA_GRAVADA|COMPRAS_NETAS_TARIFA_0|IMPORTACIONES|COMPRAS_RISE|TOTAL_COMPRAS|TOTAL_VENTAS
2025|1|N|PICHINCHA|CAYAMBE|368691,8500|86168,3500|0,0000|1213,5000|0,0000|169900,0100|31439,6000|0,0000|4536,2600|206461,7500|456073,7000
2025|1|I|GUAYAS|PLAYAS|346619,3100|75902,4500|57622,9000|0,0000|0,0000|281158,8300|85651,3900|1112,9700|38,0100|367962,4500|480144,6600
2025|1|G|MANABI|CHONE|5382967,6900|10250710,4300|0,0000|186400,8200|0,0000|6694773,0000|6216454,4400|62446,5600|37481,4700|13216523,7700|15820078,9400
2025|1|M|ORELLANA|LA JOYA DE LOS SACHAS|261122,8900|54036,9200|0,0000|37,6200|1000,0000|208205,7300|87417,7900|0,0000|26190,4500|332283,7000|316197,4300
2025|1|O|AZUAY|SEVILLA DE ORO|0,0000|4457,2500|0,0000|0,0000|0,0000|9303,4100|1618,0200|0,0000|0,0000|10921,4300|4457,2500
2025|1|C|LOS RIOS|PUEBLO VIEJO|218842,1100|2551416,6600|0,0000|0,0000|211258,8000|200428,2100|2177240,3500|0,0000|3479,5000|2384843,3100|2981517,5700
2025|1|G|CARCHI|MONTUFAR|866739,6800|3603107,8500|0,0000|65932,1200|0,0000|918399,4700|3150189,3000|0,0000|74047,3200|4212156,7300|4535779,6500
2025|1|C|TUNGURAHUA|SAN PEDRO DE PELILEO|3068065,0100|6467233,4400|0,0000|7520,3600|0,0000|4625587,8000|3074051,2700|1934569,3500|64700,8600|9748843,2200|9542818,8100
2025|1|J|MANABI|EL CARMEN|148966,9500|318,7900|0,0000|0,0000|0,0000|72341,6000|2621,4700|0,0000|1168,8300|76480,4500|149285,7400
2025|1|K|AZUAY|CUENCA|10741246,5000|11454700,7100|0,0000|0,0000|37949,1400|9365305,8500|1454640,2100|56,5000|78982,0100|10958836,8000|22233896,3500
2025|1|D|ESMERALDAS|MUISNE|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000
2025|1|J|LOS RIOS|VALENCIA|10837,8300|73,4000|0,0000|0,0000|0,0000|11903,8500|138,6500|0,0000|0,0000|12042,5000|10911,2300
